'http://caltech-ipac.github.io/hiresprv/_static/keck_rwav.fits'
wavelength (Angstroms) 
4.976647946446860260e+03
4.976671387267135287e+03
4.976694827796561185e+03
4.976718268034439461e+03
4.976741707980075262e+03
4.976765147632771004e+03
4.976788586991830925e+03
4.976812026056561081e+03
4.976835464826267525e+03
4.976858903300258135e+03
4.976882341477838963e+03
4.976905779358318796e+03
4.976929216941008235e+03
4.976952654225215156e+03
4.976976091210251070e+03
4.976999527895427491e+03
4.977022964280057749e+03
4.977046400363452449e+03
4.977069836144928558e+03
4.977093271623797591e+03
4.977116706799375606e+03
4.977140141670979574e+03
4.977163576237926463e+03
4.977187010499532335e+03
4.977210444455115976e+03
4.977233878103997995e+03
4.977257311445496271e+03
4.977280744478932320e+03
4.977304177203626750e+03
4.977327609618901079e+03
4.977351041724080460e+03
4.977374473518486411e+03
4.977397905001444087e+03
4.977421336172277734e+03
4.977444767030315234e+03
4.977468197574879014e+03
4.977491627805300595e+03
4.977515057720906043e+03
4.977538487321025059e+03
4.977561916604985527e+03
4.977585345572118968e+03
4.977608774221755993e+03
4.977632202553229035e+03
4.977655630565869615e+03
4.977679058259011072e+03
4.977702485631988566e+03
4.977725912684135437e+03
4.977749339414786846e+03
4.977772765823280679e+03
4.977796191908952096e+03
4.977819617671139895e+03
4.977843043109181053e+03
4.977866468222416188e+03
4.977889893010184096e+03
4.977913317471826304e+03
4.977936741606683427e+03
4.977960165414097901e+03
4.977983588893412161e+03
4.978007012043969553e+03
4.978030434865114330e+03
4.978053857356191656e+03
4.978077279516548515e+03
4.978100701345529160e+03
4.978124122842480574e+03
4.978147544006753378e+03
4.978170964837692736e+03
4.978194385334649269e+03
4.978217805496974506e+03
4.978241225324017250e+03
4.978264644815129031e+03
4.978288063969663199e+03
4.978311482786971283e+03
4.978334901266408451e+03
4.978358319407328963e+03
4.978381737209086168e+03
4.978405154671036144e+03
4.978428571792536786e+03
4.978451988572944174e+03
4.978475405011616203e+03
4.978498821107912590e+03
4.978522236861191232e+03
4.978545652270812752e+03
4.978569067336138687e+03
4.978592482056529661e+03
4.978615896431346300e+03
4.978639310459954686e+03
4.978662724141717263e+03
4.978686137475996475e+03
4.978709550462160223e+03
4.978732963099571862e+03
4.978756375387598382e+03
4.978779787325607685e+03
4.978803198912966764e+03
4.978826610149045337e+03
4.978850021033211306e+03
4.978873431564835300e+03
4.978896841743287041e+03
4.978920251567938067e+03
4.978943661038161736e+03
4.978967070153329587e+03
4.978990478912815888e+03
4.979013887315993998e+03
4.979037295362239092e+03
4.979060703050926350e+03
4.979084110381431856e+03
4.979107517353132607e+03
4.979130923965406510e+03
4.979154330217633287e+03
4.979177736109188118e+03
4.979201141639454363e+03
4.979224546807809929e+03
4.979247951613637269e+03
4.979271356056317927e+03
4.979294760135234355e+03
4.979318163849768098e+03
4.979341567199306155e+03
4.979364970183229161e+03
4.979388372800925936e+03
4.979411775051779841e+03
4.979435176935177878e+03
4.979458578450509776e+03
4.979481979597158897e+03
4.979505380374516790e+03
4.979528780781972273e+03
4.979552180818915076e+03
4.979575580484736747e+03
4.979598979778826106e+03
4.979622378700577428e+03
4.979645777249383173e+03
4.979669175424635796e+03
4.979692573225729575e+03
4.979715970652060605e+03
4.979739367703021344e+03
4.979762764378011525e+03
4.979786160676424515e+03
4.979809556597658229e+03
4.979832952141113310e+03
4.979856347306185853e+03
4.979879742092275592e+03
4.979903136498783169e+03
4.979926530525110138e+03
4.979949924170656232e+03
4.979973317434823912e+03
4.979996710317016550e+03
4.980020102816638428e+03
4.980043494933091097e+03
4.980066886665780657e+03
4.980090278014113210e+03
4.980113668977493944e+03
4.980137059555328960e+03
4.980160449747027087e+03
4.980183839551996243e+03
4.980207228969643438e+03
4.980230617999380229e+03
4.980254006640615444e+03
4.980277394892758821e+03
4.980300782755223736e+03
4.980324170227420836e+03
4.980347557308763498e+03
4.980370943998664188e+03
4.980394330296538101e+03
4.980417716201798612e+03
4.980441101713861826e+03
4.980464486832142939e+03
4.980487871556058963e+03
4.980511255885027822e+03
4.980534639818465621e+03
4.980558023355793011e+03
4.980581406496427007e+03
4.980604789239789170e+03
4.980628171585298333e+03
4.980651553532377875e+03
4.980674935080447540e+03
4.980698316228929798e+03
4.980721696977248939e+03
4.980745077324827434e+03
4.980768457271091393e+03
4.980791836815464194e+03
4.980815215957371038e+03
4.980838594696239852e+03
