FILENAME,BJD_TDB,RV,RV_ERR,BC,ADU,CHI2
"r20041230.208",13004.93011699989,2135.188326054369,2.33110,4950.065917968750,98711,1.13000
"r20091223.184",14825.09609499993,1774.486711949237,2.51640,7006.853027343750,49700,1.13318
"r20091207.244",15173.17387899989,2249.728922504067,2.26274,12653.28222656250,49342,1.20317
"r20101229.82",15195.99288700009,1778.001398350179,3.13395,5053.772949218750,22687,1.09222
"r20091231.276",15197.18967700005,2201.928284898994,2.47156,4420.235839843750,53839,1.15522
"r20111105.145",15537.16010899981,-4712.704414838348,3.24151,13044.46777343750,21919,1.09423
"r20111006.217",15538.12832200015,-6087.057770727002,2.06475,12786.09082031250,73503,1.18062
"r20111006.218",15538.12960699992,-6086.570523278572,2.14034,12784.26269531250,75083,1.17834
"r20111006.219",15538.13091500010,-6089.935111278123,2.05892,12782.40429687500,73941,1.19151
"r20111006.220",15538.13211899996,-6088.378879713942,2.33473,12780.69824218750,73550,1.17868
"r20111111.209",15543.04284900008,-5638.878760897134,2.26465,11341.01171875000,74294,1.16130
"r20111215.213",15547.09003000008,1810.138761144524,2.08763,9953.962890625000,75397,1.19993
"r20111216.184",15547.98133300012,1801.452816566759,2.25551,9776.971679687500,75532,1.22987
"r20111216.203",15548.09326899983,1764.738590580992,2.25055,9612.602539062500,73755,1.28593
"r20111217.181",15548.93008999992,1762.604880845453,2.29246,9503.827148437500,76188,1.18081
"r20111110.232",15876.03560400009,2203.106397513101,2.20218,19342.81250000000,75923,1.25054
"r20111110.233",15876.03636799986,2205.794794745445,2.17626,19342.04882812500,73745,1.22180
"r20111110.234",15876.03714299994,2209.520365120847,2.11581,19341.26953125000,73304,1.22995
"r20111110.235",15876.03791899979,2213.614190127757,2.16176,19340.48828125000,73498,1.21985
"r20111110.236",15876.03871699981,2210.166648941408,2.40022,19339.68164062500,77310,1.26378
"r20111110.237",15876.03945800010,2203.406268749924,2.20881,19338.92968750000,72384,1.24323
"r20121229.164",15925.88681099983,2135.151715933859,2.22286,5382.336914062500,74811,1.22953
"r20121230.164",15926.90929399990,2102.368813603658,2.28100,4986.120117187500,73600,1.17483
"r20121231.170",15927.88087200001,2158.498850449302,2.36539,4649.606933593750,76026,1.11947
"r20121002.143",16203.15348599991,2239.936448249131,2.87445,20845.61328125000,24932,1.13785
"r20121007.185",16208.15741100023,2190.033460431095,2.47306,21158.03320312500,47116,1.15911
"r20131019.184",16282.14700999996,-10597.12472322345,3.11522,8342.224609375000,26779,1.13407
"r20151223.109",17016.17695199978,1773.635772823053,2.44473,7090.378906250000,54277,1.18361
"r20151228.120",17020.95701899985,1726.329029749009,2.54775,5584.120117187500,54557,1.13613
