FILENAME,BJD_TDB,RV,RV_ERR,BC,ADU,CHI2
"r20041023.138",13301.72099100007,-5.709889863026234,1.00692,-25005.08789062500,111023,1.32672
"r20050625.205",13546.95531200012,-3.495328143969344,0.753076,8993.213867187500,101093,1.18961
"r20050625.206",13546.95598299988,-3.618924616005032,0.727792,8991.175781250000,99597,1.18725
"r20050625.207",13546.95666600019,-0.4841043268614049,0.795640,8989.101562500000,98242,1.18307
"r20050625.208",13546.95738400007,-0.7917157941855153,0.782841,8986.919921875000,106693,1.23803
"r20050626.156",13547.84207399981,-1.191403685169325,0.707118,8903.830078125000,239688,1.24850
"r20050626.157",13547.84295300022,-0.8108268121370148,0.710798,8901.983398437500,150948,1.16728
"r20050626.158",13547.84377499996,-0.1515996174767896,0.648531,8900.249023437500,146638,1.13100
"r20050626.159",13547.84458500007,-0.4976493657323738,0.713479,8898.530273437500,121786,1.15031
"r20050627.135",13549.01458299998,-2.521257900288963,0.732919,8025.558105468750,100691,1.16491
"r20050627.136",13549.01527799992,-4.411245370353464,0.750057,8023.458984375000,100904,1.16040
"r20050627.137",13549.01596100023,-6.909539086504665,0.751814,8021.395996093750,103572,1.16620
"r20050628.65",13549.93816100014,5.757997164496161,0.962363,7862.727050781250,33584,1.10116
"r20050628.66",13549.93880899996,1.168840041090190,0.711114,7860.775878906250,106706,1.14975
"r20050628.67",13549.93952699983,2.830916413667917,0.773368,7858.612792968750,101059,1.18414
"r20050628.68",13549.94024399994,0.4758270366768906,0.822631,7856.449218750000,96595,1.15462
"r20050629.83",13550.98912499985,-2.858806120501373,0.778184,7306.479980468750,108612,1.17019
"r20050629.84",13550.98993499996,-2.831480091514345,0.782924,7303.982910156250,99697,1.18350
"r20050629.85",13550.99059499986,-3.951725133493152,0.771328,7301.951171875000,95258,1.15984
"r20050629.86",13550.99126600008,-5.007260887528176,0.696793,7299.883789062500,98939,1.18233
"r20050630.87",13551.94862700021,-5.033011842137426,0.803578,7029.162109375000,102936,1.16661
"r20050630.88",13551.94944899995,-4.512065756854947,0.800650,7026.641113281250,101632,1.19137
"r20050630.89",13551.95030499995,-4.343783453240333,0.786527,7024.011230468750,102655,1.16997
"r20050630.90",13551.95113899978,-2.610187605490410,0.776285,7021.451171875000,97276,1.21995
"r20050719.199",13570.98675299995,0.6700740702221362,0.940554,-989.9299926757812,104548,1.23604
"r20050719.200",13570.98745900020,-0.2280348107844645,0.956115,-991.9589843750000,102159,1.20241
