FILENAME,BJD_TDB,RV,RV_ERR,BC,ADU,CHI2
"r20040823.141",13240.80766799999,73.91462437546669,1.25704,-27043.00195312500,114557,1.37110
"r20050419.149",13480.04783099983,68.43640144198399,1.24890,23534.42773437500,89944,1.10076
"r20050625.165",13546.84402999980,69.00780784456659,1.08937,-5416.791015625000,91408,1.02453
"r20050626.140",13547.79860700015,63.34148911002864,0.974159,-5784.962890625000,148320,1.00939
"r20050627.117",13548.98039899999,61.18075242227287,1.09040,-6738.313964843750,91366,1.01334
"r20050628.58",13549.92217200017,61.93703886486858,1.02178,-7065.119140625000,91644,1.04161
"r20050629.63",13550.94581599999,62.05094242783358,1.04773,-7604.523925781250,90528,1.04082
"r20050630.66",13551.90522400010,63.97863004969135,1.11773,-7970.998046875000,92172,1.06826
"r20050719.128",13570.81625000015,61.21679822437159,1.08437,-16177.70898437500,96329,1.05147
"r20050724.126",13575.83731599990,63.09612768447528,1.27895,-18205.93945312500,84796,1.05119
"r20050725.118",13576.77082399977,65.31347476333235,1.16130,-18414.09960937500,93981,1.06600
"r20050820.129",13602.76290300023,63.95496264333451,1.07896,-26257.43750000000,95036,1.11644
"r20090714.63",15026.95963399997,-27.97884186778521,1.54274,-14409.32812500000,44731,1.04355
"r20090805.13",15048.77518900018,-21.25776164875639,1.55930,-22247.85351562500,44061,1.08214
"r20110825.96",15798.72431499977,-91.46168340664886,1.26299,-27046.77734375000,46322,1.11644
"r20110910.62",15814.71361199999,-93.76689005046819,1.24273,-28908.69140625000,45386,1.09773
"r20111009.73",15843.73140900023,-95.79338942555334,1.25495,-26934.60742187500,48642,1.06093
"r20140811.50",16880.75209899992,-235.4794873102671,1.43568,-23914.26562500000,46999,1.09758
"r20140819.66",16888.73596999981,-230.6890385444154,1.27228,-25910.80859375000,44856,1.08805
