FILENAME,BJD_TDB,RV,RV_ERR,BC,ADU,CHI2
"r20050225.200",13427.02675299998,-2921.789736516866,0.833484,-6771.313964843750,94938,1.22926
"r20050225.201",13427.02857000008,-2923.333162172565,0.881139,-6772.247070312500,95318,1.23154
"r20050225.202",13427.03051500022,-2921.737286471932,0.885006,-6773.250000000000,96641,1.21263
"r20100204.248",15232.17580100009,2684.158079572563,1.72229,-3789.739013671875,46984,1.47002
"r20100301.258",15257.14142000023,7788.849711719415,1.82164,-7287.108886718750,48530,1.78150
