FILENAME,BJD_TDB,RV,RV_ERR,BC,ADU,CHI2
"r20040821.127",13238.87390000001,-2.136013907008987,1.09605,-26081.11718750000,111956,1.37673
"r20050301.142",13431.16629499989,1.999093090529357,0.992472,27811.71093750000,93291,1.10742
"r20050301.143",13431.16747599980,2.763244725214008,0.964208,27808.67968750000,91563,1.10760
"r20050301.144",13431.16869099997,0.005957841058943814,0.972188,27805.55273437500,94536,1.11746
"r20050625.174",13546.86187299993,-0.7948204878670353,1.02720,-6326.658203125000,96601,1.06918
"r20050625.175",13546.86292599980,-2.488277011036067,0.882941,-6329.945800781250,94937,1.06222
"r20050625.176",13546.86399100022,0.07248455726950109,1.04476,-6333.275878906250,94043,1.05759
"r20050626.145",13547.81002300000,-0.5938477503977072,0.874650,-6627.915039062500,152634,1.06637
"r20050626.146",13547.81133100018,-2.550186349648226,0.862604,-6631.564941406250,133549,1.03440
"r20050626.147",13547.81258099992,-1.810425958416861,0.924003,-6635.067871093750,117108,1.05885
"r20050627.123",13548.98955499986,-1.832347223093200,0.962570,-7630.606933593750,94174,1.05767
"r20050627.124",13548.99073599977,-0.5262049414893519,0.973529,-7633.833007812500,97127,1.04206
"r20050627.125",13548.99181200005,-1.199332224957343,0.865615,-7636.763183593750,95663,1.04724
"r20050628.49",13549.90581700020,0.9402190459497248,0.932148,-7830.204101562500,96364,1.09937
"r20050628.50",13549.90683500003,2.637771800772393,0.898507,-7833.456054687500,94718,1.13171
"r20050628.51",13549.90785400011,5.132396463696063,0.910947,-7836.706054687500,95863,1.10505
"r20050629.64",13550.94762900006,-0.6185659237947316,0.893153,-8412.277343750000,94744,1.09530
"r20050629.65",13550.94879799988,-0.3452673690360304,0.849746,-8415.807617187500,94787,1.06161
"r20050629.66",13550.94986299984,1.708716136816435,0.946201,-8419.015625000000,94589,1.05892
"r20050630.51",13551.89060000004,-0.3243741697617462,0.839262,-8682.946289062500,95826,1.14201
"r20050630.52",13551.89160700003,1.594522741861494,0.904943,-8686.165039062500,93609,1.10204
"r20050630.53",13551.89276400022,0.9360669850310970,0.954909,-8689.866210937500,96663,1.11025
"r20050719.184",13570.94113600021,-2.170767043914168,0.891562,-16746.95312500000,95369,1.12694
"r20050719.185",13570.94352099998,-1.298994207742375,0.927581,-16752.96289062500,94480,1.11856
"r20050719.186",13570.94566200022,-4.066914406627404,0.914156,-16758.30664062500,96700,1.13392
"r20060710.160",13926.89594400022,0.6610510125976390,0.947167,-12923.80566406250,89848,1.09582
"r20060710.161",13926.89702000003,0.7015431901684508,0.878321,-12927.13671875000,91106,1.11194
"r20060710.162",13926.89804999996,1.298169303857504,0.977567,-12930.32128906250,90897,1.11120
"r20060906.156",13984.81261500018,-2.599978147937051,0.928665,-27774.83789062500,89988,1.15795
"r20060906.157",13984.81362200016,-0.4268737988193152,0.925083,-27776.97070312500,90719,1.16605
"r20060906.158",13984.81458200002,1.098764948952919,0.925929,-27778.99218750000,90401,1.16433
"r20070207.310",14139.17255100003,-0.002198390622041302,1.09284,24140.31835937500,70271,1.12326
"r20070207.311",14139.17347700009,0.1736779763982241,1.08600,24138.48242187500,69366,1.11814
"r20070207.312",14139.17443699995,-1.327084219372551,1.08094,24136.56835937500,69822,1.13096
"r20070526.205",14247.04421399999,-0.9472585908617042,1.07359,7344.920898437500,71178,1.12427
"r20070526.206",14247.04525600001,0.5090194187902455,1.04689,7341.783203125000,71763,1.12019
"r20070529.163",14249.98006800003,0.7892293303999054,1.10990,6168.871093750000,70490,1.15989
"r20070531.170",14251.98364799982,-1.693454790282189,0.991852,5232.579101562500,73262,1.20367
"r20070531.171",14251.98451599991,-1.898756495161152,0.997712,5229.797851562500,71576,1.20022
"r20070531.172",14251.98540699994,-0.3838565075321920,0.946383,5226.942871093750,71607,1.18912
"r20070604.217",14256.01712100022,-1.559023310491718,1.03202,3265.347900390625,52835,1.13830
"r20070604.218",14256.01789599983,-3.719402241414254,1.14509,3262.989990234375,53583,1.14500
"r20070626.266",14277.92448800011,1.132446516409684,0.923240,-6757.557128906250,69918,1.03859
