FILENAME,BJD_TDB,RV,RV_ERR,BC,ADU,CHI2
"r20041023.221",13302.06278999988,5.170575628946114,1.36888,22121.27929687500,109864,1.40300
"r20041129.224",13339.02780300006,0.4699046805924354,1.11163,6750.026855468750,97519,1.19101
"r20041129.225",13339.02971300017,1.286557994743387,1.16014,6745.356933593750,101783,1.21750
"r20041129.226",13339.03060400020,2.207902354430757,1.09622,6743.184082031250,102346,1.19872
"r20041129.227",13339.03155399999,1.404916712557039,1.08033,6740.874023437500,96948,1.19378
"r20041229.229",13368.88934000023,4.155361908750375,1.12197,-8051.182128906250,99852,1.20427
"r20041229.230",13368.89000000013,3.309426351835548,1.15502,-8052.894042968750,95656,1.22000
"r20041229.231",13368.89064799994,1.064274556706849,1.14690,-8054.576171875000,101862,1.21191
"r20050224.153",13425.85659600003,1.621841469832304,1.05525,-27768.34570312500,97223,1.15742
"r20050224.154",13425.85747499997,-0.8824953982273200,1.17900,-27769.73437500000,89916,1.14382
"r20050224.155",13425.85828500008,-4.060952512054996,1.11305,-27771.00781250000,99753,1.16775
"r20051118.184",13692.99022099981,-2.547679482793953,1.03517,12214.20703125000,108416,1.18662
"r20051118.185",13692.99122799980,-3.001052530987263,1.04154,12211.63183593750,110574,1.19518
"r20051118.186",13692.99201499997,-2.746114254370667,1.07647,12209.61816406250,102925,1.18013
"r20051118.241",13693.09133700002,-0.5238402707673231,0.999132,11966.25000000000,105209,1.27307
"r20051118.242",13693.09262100002,2.560672620423318,1.04486,11963.41601562500,109806,1.28857
"r20051118.243",13693.09331599995,0.4514611739098413,1.05920,11961.88867187500,106667,1.28632
"r20051119.268",13694.06588899996,-3.343801000644035,1.09907,11567.75976562500,98216,1.20218
"r20051119.269",13694.06672299979,-2.065027095832065,1.00226,11565.79296875000,107521,1.26680
"r20051119.270",13694.06738199992,-0.1056929364128365,1.01362,11564.23828125000,112519,1.26244
"r20051120.224",13694.92500799987,-6.015037448674612,1.37001,11458.93457031250,33737,1.12638
"r20051120.225",13694.92554000020,-3.287190451871673,1.32423,11457.66894531250,39955,1.15109
"r20051120.226",13694.92608400015,-0.4716757398204301,1.38221,11456.37402343750,35580,1.13032
"r20051120.285",13695.00902700005,-6.202994968667781,1.08114,11247.60937500000,109382,1.25437
"r20051120.286",13695.00964100007,-4.643074416288837,1.10710,11246.04003906250,107377,1.25426
"r20051120.287",13695.01026599994,-4.778003349680162,1.09376,11244.44238281250,103746,1.21084
"r20051121.236",13695.96628500009,-3.627198408111330,1.13702,10891.96972656250,107105,1.27792
"r20051121.237",13695.96689799987,-4.804173905199299,1.19799,10890.40722656250,103999,1.28093
"r20051121.238",13695.96748800017,-3.472414626901781,1.12159,10888.90234375000,104962,1.28716
"r20051122.289",13697.00608999981,-4.836592520826091,1.23833,10320.58300781250,38779,1.15657
"r20051122.290",13697.00663400022,-8.116233763541402,1.31503,10319.18945312500,38317,1.16580
"r20051122.291",13697.00716600008,-5.123754081223169,1.48611,10317.82617187500,31225,1.13199
"r20051122.292",13697.00933100004,-4.642179287247892,1.09055,10312.28710937500,113828,1.28768
"r20051122.293",13697.00994399982,-2.330533935587709,1.11341,10310.71875000000,105495,1.30105
"r20051122.294",13697.01068500010,-5.666283327870381,1.13217,10308.82617187500,101518,1.29149
"r20051220.194",13724.87020199979,-2.468463722298742,1.06908,-3356.154052734375,104846,1.26427
"r20051220.195",13724.87081500003,0.5429453813973169,1.07163,-3357.712890625000,100462,1.23724
"r20051220.196",13724.87143999990,-1.817214468168535,1.04628,-3359.302978515625,111590,1.26227
"r20051220.197",13724.87207699986,3.114786687718507,1.10553,-3360.923095703125,105310,1.22164
"r20051220.198",13724.87272500014,3.698151772946733,1.08385,-3362.573974609375,99226,1.22472
"r20061215.176",14084.90575999999,-1.611966555046172,1.21346,-769.2860107421875,72146,1.10682
"r20061215.177",14084.90659300005,-0.1960293487948519,1.26328,-771.4539794921875,73620,1.10614
"r20061215.178",14084.90736899991,-2.307579519363819,1.17417,-773.4719848632812,74633,1.10135
"r20070207.224",14138.97364400001,-1.363566016341963,1.10357,-24191.08203125000,71162,1.23008
"r20070207.225",14138.97439600015,-0.4423023773534851,1.10238,-24191.80078125000,71973,1.20401
"r20070207.226",14138.97497500014,-2.165335006736655,1.14715,-24192.34765625000,71822,1.23356
"r20070823.252",14336.14269200014,-1.471092243586619,1.17041,26459.81835937500,79842,1.12885
"r20071025.181",14399.04930200009,-4.808611664199564,1.13811,21749.87109375000,74019,1.10217
"r20071123.194",14428.00795800006,5.654575571763630,1.16602,10057.98828125000,78435,1.15668
"r20071123.195",14428.00860599987,4.143387174232437,1.17731,10056.33007812500,73802,1.15250
"r20071123.196",14428.00924299983,0.1425679231798540,1.17336,10054.70312500000,71527,1.13995
"r20071124.113",14428.89762899978,-0.009883527166266504,1.19970,9860.316406250000,71941,1.11818
"r20071124.114",14428.89832299994,4.290836356926377,1.15606,9858.734375000000,74082,1.12321
"r20071124.115",14428.89900599979,1.896097923121459,1.26199,9857.175781250000,75264,1.13078
