FILENAME,BJD_TDB,RV,RV_ERR,BC,ADU,CHI2
"r20040821.85",13238.77600200009,-0.9032498194631415,0.897339,-24710.55273437500,113517,1.37113
"r20041023.143",13301.74422399979,-0.2825840530629051,0.906543,-24718.65039062500,101359,1.19037
"r20050625.173",13546.86015499989,-3.993307970469797,0.798501,-2265.660888671875,95223,1.07344
"r20050626.149",13547.81684699981,1.382719518088042,0.654452,-2623.240966796875,146610,1.09454
"r20050627.113",13548.97289999994,-2.806625679121835,0.647333,-3581.533935546875,95270,1.04989
"r20050628.48",13549.90455499990,0.6766253883786735,0.645043,-3845.718017578125,95072,1.13101
"r20050629.60",13550.92950699991,0.1667764420371241,0.673427,-4405.651855468750,96691,1.15759
"r20050630.50",13551.88944600010,1.196822367494334,0.586025,-4756.805175781250,96260,1.14643
"r20050719.187",13570.95070199994,-2.424857566310834,0.791374,-13629.59179687500,96681,1.13924
"r20050820.128",13602.76109400019,1.404550091183637,0.869593,-24324.11914062500,99565,1.26214
"r20160629.128",17569.02081000013,0.2543664063508446,1.71964,-4763.240234375000,8550,1.01209
"r20160722.70",17591.97758900002,-1.350446094232453,1.06652,-15025.59570312500,24226,1.07493
