FILENAME,BJD_TDB,RV,RV_ERR,BC,ADU,CHI2
"r20041230.211",13369.93993500015,5.310465392683525,1.19899,9017.950195312500,98424,1.12180
"r20050224.142",13425.83826600015,1.313089543715918,1.16196,-18577.75195312500,95402,1.03829
"r20050224.143",13425.84037300013,-3.526162279532226,1.14112,-18583.66210937500,95992,1.04129
"r20050224.144",13425.84258300019,0.02942307063993610,1.22387,-18589.86718750000,96119,1.03505
"r20050420.142",13480.80268400023,-2.136465237945210,1.21861,-29512.60742187500,91868,1.17575
"r20050420.143",13480.80422300007,-0.9192140797005734,1.15152,-29515.29882812500,91744,1.15901
"r20050420.144",13480.80576199992,-2.466160390873746,1.21582,-29517.96679687500,91011,1.16002
"r20051118.178",13692.97675599996,-2.403616947538239,1.10448,25957.47265625000,98753,1.14486
"r20051118.179",13692.97848099982,-4.506446474726431,1.12682,25954.20703125000,99456,1.12686
"r20051118.180",13692.98021700000,-4.459397824598511,1.02590,25950.88476562500,100599,1.14890
"r20051118.232",13693.07619800000,-4.133586327065046,0.996820,25726.94335937500,100823,1.28137
"r20051118.233",13693.07748299977,-3.296254652135758,1.05103,25723.57812500000,99657,1.23599
"r20051118.234",13693.07889499981,-3.656485066994719,0.962763,25719.87500000000,101616,1.22619
"r20051119.276",13694.07843599981,-5.890917417176752,1.10691,25454.32812500000,101255,1.23456
"r20051119.277",13694.08034599992,-1.873673436414833,0.951629,25449.28515625000,100408,1.22080
"r20051119.278",13694.08209400019,-3.118135541605540,1.00228,25444.66210937500,101655,1.21007
"r20051120.242",13694.94240899989,-1.517266330104576,1.53236,25481.93750000000,30308,1.08198
"r20051120.243",13694.94321900001,-1.741600910772831,1.51336,25480.67773437500,30351,1.07619
"r20051120.244",13694.94399499986,-3.118774237115701,1.38484,25479.46484375000,30185,1.08312
"r20051120.282",13695.00203200011,-4.049432910751932,1.09456,25368.73828125000,100099,1.16855
"r20051120.283",13695.00345599977,-4.648272224606160,1.02318,25365.58203125000,99737,1.16629
"r20051120.284",13695.00491400016,-6.044915252807073,1.05395,25362.33203125000,99582,1.16958
"r20051120.305",13695.04785799980,-3.112079828125957,1.08622,25259.30078125000,99229,1.13760
"r20051120.306",13695.04935100023,-1.102392039512381,1.08022,25255.50585937500,98733,1.15458
"r20051120.307",13695.05086700013,-2.278816651178204,1.09066,25251.64062500000,100183,1.12682
"r20051121.264",13696.01440799981,-2.453329142284190,1.16885,25059.62304687500,99614,1.19744
"r20051121.265",13696.01575100003,-6.757539196933521,1.10586,25056.46875000000,98763,1.20272
"r20051121.266",13696.01709399978,-5.371838866597614,1.05071,25053.30078125000,98785,1.22045
"r20051122.352",13697.10750700021,-13.80423366743344,1.17216,24528.59375000000,98220,1.20887
"r20051122.353",13697.10882700002,-11.30596484427139,1.10455,24525.04296875000,99465,1.19609
"r20051122.354",13697.11011199979,-11.24058203951279,1.20631,24521.58398437500,99864,1.18839
"r20051220.275",13725.03693399997,-1.207463723004750,1.23962,13766.56835937500,100627,1.12934
"r20051220.276",13725.03862399980,-0.7893208198484629,1.11428,13761.73535156250,101485,1.12532
"r20051220.277",13725.04033700004,-3.219793037978022,1.26580,13756.83886718750,99802,1.13451
"r20060210.160",13776.83403000003,4.628154547328833,1.29870,-12241.12890625000,97929,1.18042
"r20060210.161",13776.83553500008,3.331654565155247,1.32424,-12245.30468750000,99912,1.16970
"r20060210.162",13776.83705099998,6.299196151593947,1.29436,-12249.52343750000,99916,1.18566
"r20070129.184",14129.98160899989,3.266984155111727,1.30654,-6554.777832031250,65325,1.08437
"r20070129.185",14129.98313699989,-1.004656591845873,1.31220,-6558.907226562500,65180,1.08249
"r20070129.186",14129.98468799982,-0.9541205811961220,1.42122,-6563.083984375000,64494,1.07678
"r20071025.198",14399.12994599994,2.132868089407822,1.23951,29541.28710937500,71541,1.09227
"r20071125.203",14430.07838799991,-2.703608648028563,1.23473,23826.31054687500,70830,1.12531
"r20071230.150",14464.97316400008,0.1663067781672112,1.46751,9312.329101562500,71771,1.15142
"r20080320.143",14545.87931300001,-1.812823988557234,1.33902,-26527.24023437500,72345,1.15458
"r20090202.124",14864.93861600012,-3.004427793886020,1.43602,-8741.584960937500,43138,1.08122
"r20090205.97",14867.90922900010,2.954533642845007,1.60057,-10153.23242187500,45564,1.07716
"r20090601.115",14983.73398800008,3.896863542954128,1.55898,-21241.62304687500,46023,1.06213
"r20090602.66",14984.73204299994,-0.5008854909710330,1.32917,-20894.15820312500,46129,1.09307
"r20090603.63",14985.73133900017,-0.2204811004519045,1.38655,-20542.66992187500,45791,1.05141
"r20090604.60",14986.73583200015,-2.345660148410233,1.44349,-20190.06054687500,46178,1.03480
"r20090605.63",14987.73261799989,3.020361827660745,1.46084,-19826.68750000000,45724,1.02708
