FILENAME,BJD_TDB,RV,RV_ERR,BC,ADU,CHI2
"r20041024.225",13303.06611200003,10.10905043167136,1.23076,21674.83789062500,104756,1.33550
"r20041024.226",13303.06703800010,11.87907050969443,1.15109,21672.06250000000,106285,1.29304
"r20041130.200",13340.05464900006,4.183842149155609,1.04963,7954.041992187500,103731,1.20518
"r20041229.243",13368.93579800008,2.368676681881638,1.12324,-5310.998046875000,100409,1.10562
"r20050225.149",13426.83573100017,-1.608224926686437,1.01042,-25156.48242187500,93089,1.04209
"r20050225.150",13426.83685299987,-3.708635693634281,0.993591,-25159.25195312500,95776,1.05496
"r20050225.151",13426.83799900021,-2.461196834775409,1.03903,-25162.06445312500,93062,1.03170
"r20051118.163",13692.94977100007,-2.532287257527045,1.10479,13553.93847656250,98946,1.14978
"r20051118.164",13692.95077800006,-5.896546371449091,0.996231,13551.01660156250,98436,1.14312
"r20051118.165",13692.95178500004,-6.818924611704261,1.03509,13548.08886718750,99162,1.14247
"r20051118.217",13693.05356100015,-2.027882581108116,1.02080,13233.57128906250,99118,1.17664
"r20051118.218",13693.05448700022,-4.352765159619508,1.02831,13230.71679687500,97837,1.17104
"r20051118.219",13693.05566699989,-5.013337089731294,0.955809,13227.08398437500,94894,1.19598
"r20051119.294",13694.10698600020,0.8000213468876041,1.00718,12670.01269531250,101427,1.17987
"r20051119.295",13694.10805100016,0.9379524146212930,0.984287,12667.12988281250,98409,1.18444
"r20051119.296",13694.10902300011,2.823076263008744,1.06674,12664.50683593750,100097,1.19628
"r20051120.276",13694.99118999997,-4.467197272347946,1.10846,12609.62792968750,101047,1.18040
"r20051120.277",13694.99204700021,-7.255519346426098,0.991262,12606.94335937500,99682,1.19015
"r20051120.278",13694.99289199989,-5.857560426342914,0.990519,12604.29394531250,98439,1.18714
"r20051121.249",13695.98601099988,-2.632245322909611,1.00818,12209.70019531250,102528,1.22914
"r20051121.250",13695.98683300009,-1.452284123558826,1.07590,12207.12597656250,100989,1.23809
"r20051121.251",13695.98782900022,-3.988115997639397,1.01255,12204.00585937500,100096,1.22543
"r20051121.319",13696.12436199980,-1.864238214710099,1.04166,11798.57421875000,100692,1.18476
"r20051121.320",13696.12524199998,-0.7321864321006615,1.15295,11796.39355468750,99121,1.19013
"r20051121.321",13696.12613300001,-2.591063631036150,1.07282,11794.19433593750,98627,1.18107
"r20051122.264",13696.96359700011,-4.563033972301696,1.09535,11858.93359375000,102351,1.19048
"r20051122.265",13696.96446500020,-2.222519457004339,1.08500,11856.27441406250,99671,1.19490
"r20051122.266",13696.96529799979,-2.399637985189230,1.11389,11853.71679687500,100025,1.19184
"r20051220.236",13724.95016400004,-1.908777457588834,1.10882,-971.7520141601562,96341,1.12793
"r20051220.237",13724.95113700023,-2.611653823501101,1.17120,-974.8640136718750,97276,1.13587
"r20051220.238",13724.95208599977,-2.130792523545153,1.05518,-977.9000244140625,99877,1.13553
"r20060111.183",13746.92365900008,1.213272087399467,1.00043,-11071.40820312500,98215,1.10268
"r20060111.184",13746.92505900003,-0.1227089266947701,1.14784,-11075.64453125000,98473,1.09179
"r20060111.185",13746.92645899998,-1.119868096876360,1.07199,-11079.87109375000,100618,1.10008
"r20060112.148",13747.87077599997,4.572445669924562,1.08356,-11338.40820312500,96382,1.15286
"r20060112.149",13747.87164400006,3.316877550301285,1.08025,-11341.16406250000,98351,1.14821
"r20060112.150",13747.87250099983,-0.5342326087581455,1.09359,-11343.88281250000,95772,1.15530
"r20060113.182",13748.88079500012,3.588036707913435,1.06033,-11799.09863281250,99706,1.08496
"r20060113.183",13748.88202199992,3.977610003619244,1.10736,-11802.97363281250,97967,1.10132
"r20060113.184",13748.88316799980,5.607593334537825,1.13533,-11806.58984375000,99488,1.09844
"r20060114.165",13749.84358099988,5.507899382655921,1.02141,-12106.75195312500,98196,1.18349
"r20060114.166",13749.84442600003,1.407816987867676,1.08326,-12109.41210937500,96390,1.15928
"r20060114.167",13749.84529400012,5.951222162691735,1.13649,-12112.14746093750,99394,1.14904
"r20060115.180",13750.84896699991,2.736382838388533,1.04744,-12545.58105468750,100876,1.19068
"r20060115.181",13750.85092299990,4.916470671410856,1.05051,-12551.75976562500,96011,1.21264
"r20060116.178",13751.90870200004,-1.966445369581642,0.963208,-13150.10742187500,96317,1.11357
"r20060116.179",13751.91166500002,-1.155353140470762,1.00596,-13159.02441406250,96014,1.10505
"r20060117.168",13752.92172499979,1.618207154924704,1.06423,-13602.39843750000,97035,1.10405
"r20060117.169",13752.92415500013,1.135196566552402,1.10899,-13609.45898437500,97419,1.10476
"r20060117.170",13752.92626200011,0.8150980937649592,1.09987,-13615.54394531250,96623,1.10085
"r20060118.171",13753.90067300014,2.774348243564702,1.06031,-13949.65039062500,95427,1.10239
"r20060118.172",13753.90166899981,-1.607676056129776,1.02439,-13952.65722656250,97164,1.11056
"r20060118.173",13753.90267500002,2.694650445754469,1.09979,-13955.69335937500,97757,1.10869
"r20060209.157",13775.83301400021,-1.092994177173196,1.05562,-21477.61914062500,98278,1.09155
"r20060209.158",13775.83397499984,-2.061769725794880,1.09885,-21480.43164062500,97842,1.09877
"r20060209.159",13775.83492399985,-1.713520052315857,1.05257,-21483.20507812500,98543,1.09780
"r20060210.186",13776.88437400013,0.8923134791088749,1.11978,-21897.58789062500,98771,1.11226
"r20060210.187",13776.88532300014,-1.509853340950135,1.20631,-21899.97851562500,100431,1.14051
"r20060210.188",13776.88622599980,2.391572740143738,1.13267,-21902.24414062500,98425,1.17180
"r20060906.253",13985.08917099983,-4.234489703323163,1.05629,25927.64648437500,90378,1.18326
"r20060906.254",13985.09002800006,-5.542384845160313,1.10686,25926.05078125000,87805,1.15196
"r20060906.255",13985.09093100019,-1.310852902154807,1.09809,25924.35742187500,89602,1.14976
"r20070130.163",14130.89512400003,-4.344487884792549,1.18935,-18405.82617187500,65079,1.06886
"r20070130.164",14130.89617699990,-4.781234159553787,1.33110,-18408.75195312500,65145,1.07375
"r20070130.165",14130.89719599998,-5.994730396725213,1.30768,-18411.57226562500,64038,1.06254
"r20070831.239",14344.11884299992,-3.440868618940669,1.20517,25126.84765625000,70698,1.16726
"r20071024.215",14398.08154400019,-4.005745263565814,1.18356,21822.06640625000,71687,1.12790
"r20071219.141",14453.91898699990,-15.18092461546039,2.72785,-177.6049957275391,6457,1.02481
"r20071220.249",14454.89444800001,-5.965607502417056,1.28234,-575.1350097656250,70264,1.11849
"r20071221.294",14456.04160899995,-9.279819893457494,1.23109,-1498.348999023438,71376,1.10499
"r20071230.138",14464.93204399990,-1.477705406620583,1.30846,-5415.268066406250,69918,1.14173
"r20080319.131",14544.81802400015,-1.013908247568274,1.26459,-26843.48437500000,70644,1.15252
"r20080320.127",14545.81499599991,-0.4686649528246107,1.30009,-26820.90625000000,70600,1.07759
"r20080321.111",14546.75544499978,-3.641760412536089,1.89984,-26672.08984375000,30105,1.09341
"r20080826.212",14705.10492900014,-3.333791040299730,1.15558,24497.46875000000,71271,1.10322
"r20080911.236",14721.14466100000,-2.691974583440697,1.25056,26203.65625000000,43569,1.12358
"r20081207.151",14807.93268099986,-3.333366450957712,1.30207,5102.580078125000,47931,1.11454
"r20081218.198",14818.98769100010,-2.364475306472091,1.19019,-258.3210144042969,75224,1.19221
"r20090210.131",14872.88451900007,-5.370196670380597,1.26752,-21971.03515625000,71054,1.08594
"r20090413.66",14934.74093500013,-4.043770205793859,1.22965,-24077.71093750000,43492,1.05435
"r20091006.120",15111.09274199978,-14.57233407169633,1.65488,25304.84375000000,30050,1.07221
"r20100306.69",15261.71108700009,-5.620056823137896,1.21036,-25996.79492187500,44907,1.06381
"r20100829.139",15438.13738000020,-1.043826584107563,1.27608,24821.73242187500,46857,1.14750
"r20100830.160",15439.13867700007,0.2051859220644303,1.31046,24968.76757812500,48221,1.13344
"r20100923.264",15463.14004100021,-1.922100788315845,1.14277,26309.69140625000,73131,1.17472
"r20100923.265",15463.14086299995,-1.010173056055180,1.04216,26307.44140625000,76988,1.18777
"r20100923.266",15463.14166200021,1.359045286254968,1.15525,26305.25195312500,74228,1.20050
"r20101002.216",15472.09211400012,-0.7161017909114662,1.26037,25830.41406250000,49537,1.11675
"r20101229.62",15559.85803100001,-2.079399488903789,1.73925,-4827.699218750000,20726,1.06993
"r20110907.161",15812.15012900019,0.9994937630063419,1.21623,25851.43554687500,45464,1.11538
"r20111007.192",15842.15820500022,-1.327233996441890,1.26475,25049.79882812500,45991,1.15895
"r20111111.193",15877.00339500001,0.1058804247769558,1.21462,16309.36230468750,76206,1.13544
"r20111111.194",15877.00433199992,-0.1235316745611499,1.16026,16306.50390625000,72742,1.12329
