FILENAME,BJD_TDB,RV,RV_ERR,BC,ADU,CHI2
"r20041023.149",13301.77282200009,2.418661892595829,1.11631,-518.3859863281250,101557,1.23512
"r20041024.136",13302.76093300013,1.257424320330224,1.07354,-803.1660156250000,102033,1.24039
"r20041024.137",13302.76281999983,0.3580592166601133,1.06003,-806.1989746093750,102123,1.30030
"r20041129.150",13338.71569699980,2.340642590538813,1.01003,-10967.11132812500,101520,1.28908
"r20041130.143",13339.71861100011,0.1219315170734099,1.01621,-11214.50292968750,100892,1.20165
"r20050625.263",13547.09881999996,-4.060044941273055,0.847712,15496.66894531250,97602,1.23675
"r20050625.264",13547.10019699996,-1.834502732996896,0.850191,15494.98828125000,97277,1.23931
"r20050625.265",13547.10155100003,-2.345444701810820,0.816713,15493.33203125000,96006,1.23453
"r20050626.238",13548.09606999997,-2.294172147376262,0.871437,15617.15722656250,96538,1.19727
"r20050626.239",13548.09887100011,-1.953272622251077,0.800628,15613.72460937500,95225,1.21012
"r20050626.240",13548.10164899984,0.1581079820797484,0.838510,15610.29980468750,95488,1.20426
"r20050627.197",13549.12113500014,-2.279020107571405,0.773588,15698.66992187500,98786,1.22995
"r20050627.198",13549.12253599986,0.2167559395641909,0.740876,15696.87207031250,96966,1.23175
"r20050628.161",13550.08751699980,-3.326662836323042,0.872717,15849.78417968750,99249,1.22396
"r20050628.162",13550.08888299996,-0.5645208085509239,0.762331,15848.11523437500,96674,1.24023
"r20050628.163",13550.09023700003,-2.116057451661835,0.769587,15846.45410156250,96788,1.21682
"r20050629.144",13551.09209500020,-1.781409203388307,0.762587,15948.88281250000,98604,1.26483
"r20050629.145",13551.09339200007,-1.677661825732638,0.780121,15947.26660156250,97539,1.23812
"r20050629.146",13551.09468800016,-2.793668229985208,0.783870,15945.64648437500,98683,1.23401
"r20050630.136",13552.05098900013,-8.400046211505533,0.846963,16098.13476562500,101748,1.25091
"r20050630.137",13552.05231999978,-7.710534066896926,0.902168,16096.65234375000,101310,1.23802
"r20050630.138",13552.05373199983,-6.738452750172428,0.858860,16095.07128906250,99960,1.25349
"r20050719.228",13571.05771599989,1.018358311172804,0.822935,17082.84179687500,102030,1.30312
"r20050719.229",13571.05898900004,0.9996155827908524,0.757271,17081.08203125000,101188,1.24018
"r20050719.230",13571.06043600012,1.050829281120059,0.795690,17079.07812500000,100400,1.26594
"r20051118.120",13692.80690999981,-0.7701951263463567,0.951448,-8179.694824218750,99706,1.17050
"r20051118.121",13692.81327599986,0.8802181372767048,1.01042,-8189.892089843750,98596,1.17654
"r20051118.122",13692.81537100021,1.094923525792982,0.944772,-8193.219726562500,100396,1.16649
"r20051119.119",13693.70393399987,-1.869598522306475,0.888042,-8282.839843750000,100302,1.20082
"r20051119.120",13693.70532299997,-0.9259792646570801,0.876889,-8285.084960937500,101749,1.19314
"r20051119.121",13693.70675799996,-0.6873993827885982,0.890461,-8287.411132812500,101897,1.19533
"r20051119.208",13693.92696100008,0.8191261893141046,0.915234,-8610.514648437500,101336,1.18325
"r20051119.209",13693.92933299998,-1.093619883085903,0.979438,-8612.663085937500,102307,1.18768
"r20051119.210",13693.93084899988,0.4901378113728043,0.906604,-8614.011718750000,99953,1.16699
"r20051120.120",13694.70112799993,-3.397635470084865,0.961590,-8550.277343750000,101151,1.22367
"r20051120.121",13694.70241300017,-2.069185657952300,0.982666,-8552.350585937500,101984,1.24453
