FILENAME,BJD_TDB,RV,RV_ERR,BC,ADU,CHI2
"r20040821.90",13238.79001899995,0.4741608742767198,1.04747,-16250.89062500000,115424,1.40959
"r20041023.144",13301.74942500005,-0.3279560028633313,0.984765,-17053.09570312500,103362,1.18915
"r20050228.147",13430.17078399984,-8.267870968211071,0.930149,18223.42578125000,97966,1.15327
"r20050228.148",13430.17298300005,-11.72905865036441,0.991804,18218.76953125000,96065,1.15382
"r20050228.149",13430.17536700005,-17.80268931434048,0.934878,18213.68554687500,97116,1.13932
"r20050625.162",13546.83574400004,-8.042183521251660,0.895640,-698.6420288085938,96463,1.14811
"r20050625.163",13546.83716800017,-6.568542160124775,0.855633,-702.0540161132812,97466,1.14004
"r20050625.164",13546.83862600010,-7.580284705279833,0.933619,-705.5679931640625,96062,1.12864
"r20050626.209",13548.00310100010,-5.601730793658826,0.917623,-1471.354003906250,94123,1.10501
"r20050626.210",13548.00513800001,-2.386188592050031,0.952766,-1476.423950195312,94109,1.10674
"r20050626.211",13548.00697899982,-3.200285471820016,0.887759,-1480.978027343750,94231,1.10807
"r20050627.107",13548.95369900018,-3.553271928459715,0.880831,-1666.298950195312,95869,1.07969
"r20050627.108",13548.95519200014,-3.317599916856580,0.865522,-1670.390991210938,95760,1.07716
"r20050627.109",13548.95667300001,-3.058085730556634,0.841746,-1674.444946289062,95508,1.08786
"r20050628.43",13549.89442199981,-3.613166473682372,0.997313,-1827.137939453125,97595,1.12513
"r20050628.44",13549.89599600015,-4.691054731186007,0.926719,-1831.489013671875,96884,1.12868
"r20050628.45",13549.89758200012,-4.216695183341504,0.867100,-1835.876953125000,95204,1.12874
"r20050629.39",13550.87267899979,-6.381327299611165,0.851168,-2092.992919921875,96473,1.13727
"r20050629.40",13550.87409200007,-5.183417116746902,0.877086,-2096.808105468750,96357,1.18005
"r20050629.41",13550.87549200002,-4.290396241604452,0.844013,-2100.599121093750,97777,1.16906
"r20050630.35",13551.86276399996,-8.300275705998658,0.940464,-2391.268066406250,98099,1.19597
"r20050630.36",13551.86424600007,-7.129251021985789,0.934203,-2395.221923828125,98385,1.18227
"r20050630.37",13551.86571600009,-7.082627569173972,0.945525,-2399.155029296875,97332,1.16234
"r20050719.153",13570.87413100014,-7.270750633034265,0.865503,-8359.435546875000,100561,1.25998
"r20050719.154",13570.87559999991,-5.852522960132426,0.911099,-8363.480468750000,99626,1.17690
"r20050719.155",13570.87712799991,-5.346197196973691,0.902817,-8367.679687500000,98862,1.17480
"r20050820.125",13602.75422000000,-1.442033531455305,0.989340,-15913.08105468750,101515,1.25673
"r20050820.126",13602.75574800000,-3.132838582208993,0.987955,-15917.10839843750,101101,1.19235
"r20050820.127",13602.75727599999,-1.182626074866974,1.04202,-15921.13867187500,100039,1.21213
"r20051122.119",13696.68362300005,-1.981367461272917,1.08112,-10197.01855468750,101941,1.16941
"r20051122.120",13696.68540500011,0.2132041563427123,1.07960,-10198.52636718750,100712,1.17650
"r20051122.121",13696.68721099989,-0.4460319149389562,1.05987,-10200.00781250000,100937,1.18995
"r20060416.206",13842.01614399999,-0.7908729412397122,1.06370,17678.35546875000,78329,1.20161
"r20060416.207",13842.01735999994,2.495567224161618,0.982913,17675.75976562500,79546,1.22474
"r20060416.208",13842.01856300002,0.1671441491641588,0.932898,17673.17578125000,81121,1.23732
"r20060716.142",13932.78184500011,2.942748640180335,0.944011,-7133.633789062500,92219,1.17714
"r20060716.143",13932.78333800007,3.243192610107595,0.931816,-7137.216796875000,91517,1.17508
"r20060904.180",13982.88125299988,8.828247462617639,0.897029,-18420.35937500000,91535,1.18890
"r20060904.181",13982.88275700016,9.783144938880312,0.881696,-18422.69140625000,90165,1.20871
"r20060904.182",13982.88429699978,6.887333518571452,0.900977,-18425.04882812500,89965,1.19059
"r20070527.174",14248.03953499999,5.326977845338210,1.06552,8147.424804687500,72241,1.12326
"r20070529.160",14249.96188900014,0.1590052130220316,1.09886,7760.349121093750,71534,1.18006
"r20070530.172",14250.99918399984,13.21389492497706,1.19223,7355.303222656250,75497,1.33028
"r20070531.193",14252.05196399987,3.732610857887583,1.00198,6907.129882812500,55675,1.14139
"r20070531.194",14252.05306300009,4.573691257171438,0.991210,6904.247070312500,55574,1.16403
"r20070604.197",14255.94321600022,0.1928309210098478,0.999982,5970.011230468750,54899,1.18508
"r20070604.198",14255.94419999979,2.496908522357145,1.00224,5967.362792968750,54789,1.19653
"r20070626.248",14277.87106700009,6.353343275766431,1.05500,-953.6729736328125,71046,1.11258
"r20070713.148",14294.86410599994,2.608049356475673,0.958041,-6359.448242187500,70948,1.12529
"r20070723.145",14304.83978099981,-2.481420115157363,1.09455,-9281.512695312500,72827,1.16551
"r20070723.146",14304.84098500013,0.8569382986140557,1.10624,-9284.819335937500,70730,1.15340
"r20070724.184",14305.95959499991,1.501724557788876,1.01217,-9874.009765625000,70977,1.13295
"r20070724.185",14305.96090300009,5.487715226393851,0.991009,-9876.844726562500,71335,1.14355
"r20070725.171",14306.93497999990,3.638320048370872,0.977652,-10098.14941406250,71828,1.13872
"r20070725.172",14306.93617299991,3.421390830559242,1.04907,-10100.96972656250,70437,1.14121
