FILENAME,BJD_TDB,RV,RV_ERR,BC,ADU,CHI2
"r20041024.191",13302.95687700016,-1.394293339831969,1.15660,12518.67578125000,113092,1.41397
"r20041024.192",13302.95753700007,-4.562375068860537,1.09299,12516.75488281250,104497,1.39364
"r20041130.182",13339.96957299998,-5.887008209572446,1.09885,-4219.264160156250,113295,1.31656
"r20041130.183",13339.97037100000,-5.345135636076311,1.19784,-4221.709960937500,111353,1.32404
"r20041130.184",13339.97104300000,-7.036259663951297,1.26305,-4223.763183593750,108552,1.29823
"r20041229.257",13368.97100300016,-7.333247586345863,1.15033,-16672.25781250000,104107,1.29549
"r20041229.258",13368.97162800003,-4.609441732566779,1.16389,-16673.65039062500,113500,1.31716
"r20041229.259",13368.97225299990,-4.938666637124996,1.19420,-16675.03710937500,107334,1.32776
"r20050225.139",13426.80399799999,-5.616403453930445,1.03055,-26619.34960937500,105919,1.35428
"r20050225.140",13426.80463400017,-2.801197080060490,1.01772,-26620.53320312500,101911,1.29864
"r20050225.141",13426.80537500000,-1.495738417631486,1.01786,-26621.90429687500,103598,1.32009
"r20051118.155",13692.93950900016,-4.866605132205979,1.15161,1608.941040039062,106135,1.26174
"r20051118.156",13692.94035399985,-7.359315738314248,1.15297,1606.253051757812,112843,1.24091
"r20051118.157",13692.94121100008,-6.688207296811813,1.19333,1603.526977539062,112941,1.25183
"r20051118.158",13692.94265699992,-5.753873420182327,1.06458,1598.918945312500,106334,1.24193
"r20051118.159",13692.94331699982,-6.749482281369360,1.13942,1596.817993164062,112654,1.25196
"r20051118.211",13693.04810900008,-5.440429163122944,1.05692,1276.866943359375,118282,1.36291
"r20051118.212",13693.04886200000,-4.275420678981145,1.05918,1274.816040039062,112746,1.35995
"r20051118.213",13693.04948699987,-4.703931869830774,1.07118,1273.115966796875,114235,1.35590
"r20051119.264",13694.05982699990,-4.778084690395320,1.08795,781.0900268554688,117640,1.38085
"r20051119.265",13694.06044000015,-5.897520685266766,1.03111,779.5070190429688,107152,1.35818
"r20051119.266",13694.06107700011,-4.808315121153885,1.02223,777.8690185546875,118349,1.36736
"r20051120.248",13694.95155399991,-4.329548921272373,1.20166,637.5980224609375,48872,1.26406
"r20051120.249",13694.95207499992,-5.078983248505461,1.27049,635.9340209960938,46880,1.25280
"r20051120.250",13694.95261899987,-6.653381545943530,1.24482,634.1970214843750,45604,1.24355
"r20051120.254",13694.95731800003,-7.534779435172036,1.10393,619.1929931640625,120841,1.37027
"r20051120.255",13694.95789599977,-8.875547131986201,1.05752,617.3460083007812,99542,1.32877
"r20051120.256",13694.95849800017,-4.950030212656781,1.03690,615.4260253906250,121729,1.42728
"r20051121.156",13695.82190199988,-6.836813586560766,1.23771,550.3750000000000,111692,1.36386
"r20051121.157",13695.82250399981,-6.189463031144212,1.14594,548.9290161132812,119133,1.36016
"r20051121.158",13695.82310600020,-6.603458686204107,1.17500,547.4790039062500,117654,1.37772
"r20051122.237",13696.91300200019,-9.359125229478549,1.21608,-176.1139984130859,109088,1.29008
"r20051122.238",13696.91361499997,-9.381324612496289,1.08643,-178.0440063476562,111702,1.31914
"r20051122.239",13696.91423999984,-2.434214379943535,1.25244,-180.0119934082031,121503,1.31070
"r20051220.228",13724.93866600003,0.3717373864428737,1.19367,-12930.53125000000,114707,1.34260
"r20051220.229",13724.93929099990,-0.7562638158199988,1.17634,-12932.32128906250,109254,1.30213
"r20051220.230",13724.93992799986,0.2364076468113581,1.11740,-12934.14062500000,109516,1.30328
"r20051220.231",13724.94055300020,-1.116434316791015,1.13335,-12935.92382812500,109669,1.28518
"r20051220.232",13724.94117800007,0.1537196756880945,1.17863,-12937.70507812500,115027,1.28747
"r20071023.165",14396.90180000011,-7.797248337254928,1.29478,13353.47070312500,86281,1.22231
"r20071024.193",14398.01793499989,-1.570261689959960,1.27600,12624.11328125000,89878,1.28570
"r20071026.244",14399.97351300018,-1.557941642597385,1.25183,11951.12988281250,77309,1.23835
"r20071026.245",14399.97420699988,1.132249257909759,1.20147,11949.02539062500,80926,1.23679
"r20071125.176",14429.95798300020,-2.292987359247888,1.30866,-1509.693969726562,88801,1.26862
"r20071219.135",14453.84718200006,-1.247749054043425,2.01718,-12045.94140625000,11850,1.05843
"r20071219.136",14453.85167199979,2.248016589357391,1.27762,-12059.97070312500,72859,1.21128
"r20071220.243",14454.86680399999,3.472510489518740,1.19396,-12526.56835937500,77553,1.24808
"r20071220.244",14454.86753300019,2.915344233041637,1.32300,-12528.86132812500,81212,1.25393
"r20071221.290",14456.02503000014,1.938966665050522,1.38664,-13367.96777343750,76084,1.22751
"r20071224.244",14459.03841200005,-2.884116057686356,1.52459,-14597.64843750000,48275,1.17468
"r20071226.251",14460.82116100006,-2.716255208860716,1.36411,-14814.90820312500,52693,1.17861
"r20071227.240",14461.85687300004,-7.230135648413963,1.40981,-15317.13769531250,46225,1.15640
"r20071227.241",14461.85892200004,-6.936532197541055,1.43928,-15323.51171875000,48257,1.17753
"r20080126.149",14491.83979699994,-4.386544736238875,1.28558,-24330.76757812500,79037,1.26513
"r20080319.126",14544.79685899988,-4.736418343124768,1.20344,-23660.62695312500,75920,1.30952
"r20080320.110",14545.73390500015,-2.636727857357471,1.24337,-23358.39453125000,87014,1.38074
"r20080321.107",14546.72897899989,-3.567463556671868,1.23198,-23127.57421875000,73417,1.23415
"r20080811.191",14690.13853499992,0.8576742539746647,1.28531,25606.10937500000,57478,1.22293
"r20080811.192",14690.13911300013,-3.281912896484926,1.29915,25604.76562500000,61362,1.22233
"r20080823.220",14702.13636999996,-1.885198960813831,1.02825,26012.30273437500,86293,1.20614
"r20080911.238",14721.15048199985,-5.067017937287318,1.20405,24408.41210937500,51808,1.20134
"r20081107.165",14778.00591799989,-0.9209923849649471,1.41369,6322.367187500000,52101,1.17507
"r20081107.166",14778.00669299997,0.9925565403266106,1.39359,6319.923828125000,41423,1.16703
"r20081107.167",14778.00782700023,2.766183879037762,1.29371,6316.353027343750,43912,1.17703
"r20081107.168",14778.00888099987,6.478999360542710,1.32341,6313.040039062500,43411,1.18182
"r20081108.141",14778.95147000020,-0.9221907259255673,1.44869,6042.951171875000,53610,1.15653
"r20081108.142",14778.95203700010,0.2891518512676683,1.17446,6041.173828125000,60930,1.18337
"r20081108.143",14778.95261499984,0.9474364730819298,1.24824,6039.358886718750,59065,1.15078
"r20081109.156",14780.00580700021,0.8110886903129000,1.27296,5417.470214843750,53747,1.15153
"r20081109.157",14780.00638600020,-0.8458433296145520,1.28236,5415.652832031250,52423,1.14955
"r20081109.158",14780.00697600003,-0.4749057246410260,1.17711,5413.800781250000,61162,1.16555
"r20081210.153",14810.97576100007,1.398854353131483,1.24358,-8839.237304687500,46616,1.21265
"r20081218.174",14818.90291900001,0.6924209012264981,1.59579,-12100.61132812500,87312,1.42899
"r20081218.175",14818.90356699983,3.626535692816866,1.69527,-12102.61816406250,82275,1.50582
"r20081218.176",14818.90421500010,5.971451686102782,1.77416,-12104.62304687500,87343,1.55498
"r20081218.177",14818.90486299992,2.164177557905404,1.71876,-12106.62695312500,80758,1.39276
"r20081218.178",14818.90552299982,3.262075796210496,1.79623,-12108.66601562500,80287,1.44745
"r20081219.208",14820.05652899994,6.450124570926242,1.41053,-12895.69042968750,79762,1.25587
"r20081219.209",14820.05716599990,6.521298049847026,1.41234,-12896.60644531250,87618,1.29818
"r20081219.210",14820.05795300007,3.969722822879305,1.43352,-12897.72851562500,81373,1.28212
"r20081219.211",14820.05872800015,3.124224368301185,1.38579,-12898.82617187500,85973,1.27538
"r20081219.212",14820.05937599996,1.404286677065564,1.36843,-12899.73535156250,79278,1.25942
"r20081220.128",14820.85251400014,2.010792895159398,1.27733,-12785.28515625000,75358,1.19823
"r20081220.129",14820.85399599979,4.345592078808139,1.28988,-12789.93164062500,75892,1.19550
"r20081220.130",14820.85521099996,3.637135605912391,1.29748,-12793.74707031250,75789,1.21050
"r20081220.131",14820.85673899995,4.346979760402846,1.24712,-12798.54394531250,77025,1.22067
"r20081221.146",14821.86698399996,1.406308655633111,1.17276,-13246.99414062500,83057,1.22980
"r20081221.147",14821.86757399980,3.256042444231895,1.03988,-13248.84765625000,83633,1.25835
"r20081221.148",14821.86818799982,3.720455818473781,1.06608,-13250.77539062500,78102,1.25673
"r20081221.149",14821.86876600003,5.620771821320432,1.14614,-13252.59179687500,84074,1.25682
"r20081221.150",14821.86940299999,6.959032822042587,1.24823,-13254.58984375000,81150,1.22343
"r20081221.151",14821.87000499992,1.267756976472214,1.07651,-13256.48046875000,82461,1.25794
"r20081221.152",14821.87061800016,2.232474780732382,1.11422,-13258.40527343750,82851,1.20356
"r20081221.153",14821.87124300003,5.128479850317262,1.11942,-13260.36718750000,79061,1.24883
"r20081222.160",14822.86701999977,2.298985102361634,1.19969,-13659.58105468750,81663,1.24918
"r20081222.161",14822.86759900022,4.201316095789053,1.14638,-13661.39453125000,76981,1.23199
"r20081222.162",14822.86817800021,4.673143551886994,1.18626,-13663.20898437500,80544,1.25838
"r20081222.163",14822.86876800004,4.722046901266737,1.31848,-13665.05859375000,83630,1.23250
"r20081222.164",14822.86948599992,-0.7466602528737241,1.18271,-13667.30664062500,82114,1.22874
"r20081222.165",14822.87006400013,1.501028304591429,1.21864,-13669.12011718750,76581,1.22997
"r20081222.166",14822.87065399997,3.235812104872593,1.22895,-13670.96875000000,83519,1.24109
"r20090202.112",14864.90560900001,0.2702261884851396,1.28436,-25796.91992187500,53202,1.16075
"r20090202.113",14864.90619899984,-0.5216578960317690,1.27448,-25797.83007812500,46738,1.16212
"r20090202.114",14864.90680099977,-0.2452315591549450,1.28829,-25798.75195312500,55425,1.16469
"r20090205.60",14867.72814599983,0.7371191962218973,1.37665,-25744.73242187500,43858,1.16309
"r20090205.61",14867.72978900000,-1.888237261872348,1.34380,-25749.40234375000,46370,1.19551
"r20090210.122",14872.86833699979,-3.072297790080256,1.26442,-26562.79882812500,73210,1.26214
"r20090210.123",14872.86948300013,-4.208175139141758,1.29889,-26564.73046875000,71834,1.23505
"r20090210.124",14872.87035100022,-0.7060665859269761,1.29346,-26566.18359375000,76724,1.24857
"r20090210.125",14872.87125300011,-1.920003435609658,1.26356,-26567.68359375000,74585,1.24140
"r20090210.126",14872.87228300003,-3.557816363868227,1.27304,-26569.38085937500,79266,1.25154
"r20090210.127",14872.87317499984,-4.358643462618602,1.21027,-26570.83593750000,75756,1.25132
"r20090407.61",14928.71803899994,-1.019305794417278,1.21174,-18458.65234375000,51880,1.24398
"r20090408.59",14929.71451799991,-1.712001364077764,1.45463,-18127.04687500000,52126,1.20742
"r20090730.164",15043.13428300014,2.538821521877765,1.35660,24135.92968750000,48619,1.15628
"r20090730.165",15043.13496599998,4.365018698770193,1.30163,24134.65039062500,52271,1.19483
"r20090730.166",15043.13560200017,3.232444944536063,1.27088,24133.45507812500,50690,1.16402
"r20090801.143",15045.13782300008,2.863937223332599,1.29381,24437.88671875000,50056,1.12760
"r20090805.129",15049.13077600021,-0.6574022152509329,1.55494,24989.74023437500,54017,1.40125
"r20090808.218",15052.12031899998,-4.891798192868308,1.02614,25345.56835937500,80551,1.32819
"r20090808.219",15052.12185799982,-6.092769038663334,1.12680,25342.42187500000,82381,1.31772
"r20090808.220",15052.12242599996,-2.919922181623079,1.06111,25341.25585937500,83855,1.32121
"r20090808.221",15052.12301599979,-4.119625738635634,1.02056,25340.03710937500,81121,1.30279
"r20090808.222",15052.12359499978,-4.524272851726899,1.06642,25338.84179687500,95733,1.31455
"r20091006.118",15111.08063599980,-3.065065195579940,1.49801,18763.86523437500,46554,1.15101
"r20091030.218",15135.10357700009,2.793120999461902,1.25110,9659.847656250000,58564,1.16436
"r20091201.195",15166.95604499988,-5.085476330100800,1.18421,-4550.413085937500,83892,1.21295
"r20091201.196",15166.95665800013,-5.822416820310565,1.24435,-4552.323242187500,87484,1.21358
"r20091201.197",15166.95727099990,-5.523802725902556,1.34253,-4554.231933593750,86354,1.21410
"r20091201.198",15166.95789599977,-5.542341752336021,1.24578,-4556.174804687500,83781,1.21186
"r20091201.199",15166.95849800017,-3.558226571219237,1.32572,-4558.044921875000,78726,1.20038
"r20100104.134",15200.81285799993,0.2336278203088256,1.24924,-18314.33789062500,82774,1.21863
"r20100104.135",15200.81348299980,-0.5025757677354363,1.12017,-18316.25390625000,82255,1.21681
"r20100104.136",15200.81411899999,1.334807610218391,1.18286,-18318.20507812500,78513,1.21941
"r20100104.137",15200.81473200023,3.803466007092524,1.17571,-18320.08789062500,78940,1.21751
"r20100104.138",15200.81536900019,1.695729190615509,1.17757,-18322.03906250000,79067,1.21798
"r20100301.59",15256.70753599983,-1.068724441924360,1.28405,-26203.75781250000,50843,1.18348
"r20100302.130",15257.78162099980,-4.706490830927862,1.07437,-26296.42773437500,83986,1.22343
"r20100302.131",15257.78224600013,-1.839887282645435,1.14819,-26297.63476562500,83933,1.26057
"r20100302.132",15257.78285899991,-1.514066161617791,1.09571,-26298.81445312500,90505,1.23755
"r20100302.133",15257.78363399999,-0.6916772875921424,1.08828,-26300.30078125000,86222,1.22886
"r20100302.134",15257.78428300004,-1.185356643640603,1.13127,-26301.53515625000,86327,1.23947
"r20100305.120",15260.71121799992,1.927711875447812,1.14902,-25862.27539062500,57280,1.24521
"r20100802.152",15411.13534800010,2.335553841875409,1.08408,24549.07421875000,57771,1.25865
"r20100802.153",15411.13591499999,3.350424602438125,1.08702,24547.95312500000,57223,1.22838
"r20100802.154",15411.13648199989,1.058873647486280,1.04814,24546.82812500000,60202,1.23693
