FILENAME,BJD_TDB,RV,RV_ERR,BC,ADU,CHI2
"r20041229.292",13369.09920200007,1075.580078720348,2.55731,1684.260986328125,96945,2.19571
"r20080127.276",14492.84872299992,2244.224158856094,2.00674,-7851.344238281250,44459,1.41929
"r20080323.236",14548.83419399988,3272.868821051564,2.20988,-19668.31054687500,45679,1.15018
"r20081210.178",14811.04573100014,-6447.747011428123,2.94646,8257.485351562500,23018,1.98321
"r20091231.251",15197.12661800021,1568.223512700375,2.71375,1030.154052734375,18854,1.35289
"r20121002.142",16203.15322099999,3303.029526877329,2.02135,19953.99414062500,23164,1.09972
"r20131212.150",16639.10289700003,-6777.200419899815,3.38682,7627.872070312500,23921,2.03847
