FILENAME,BJD_TDB,RV,RV_ERR,BC,ADU,CHI2
"r20041024.218",13303.04485799978,-2.221371341670758,1.16059,28355.83398437500,101678,1.21485
"r20041024.219",13303.04584199982,2.018358941671632,1.07993,28353.55273437500,101303,1.20760
"r20041229.288",13369.08986999979,-3.128259659567412,1.27817,1970.875976562500,97914,1.18219
"r20050224.150",13425.85428200010,-2.809774573258181,1.18885,-23974.50195312500,94191,1.15336
"r20050224.151",13425.85530100018,-0.7167918446704959,1.23923,-23977.18164062500,93260,1.14117
"r20050224.152",13425.85631900001,-1.116921574666918,1.20749,-23979.85742187500,95320,1.13593
"r20050423.122",13483.74939000001,-2.581622698697970,1.23344,-28092.16015625000,90457,1.12613
"r20050423.123",13483.75027000019,1.619209661689183,1.13310,-28093.61523437500,89950,1.19983
"r20050423.124",13483.75110299978,-1.279464484657069,1.25870,-28094.98632812500,89144,1.18109
"r20051219.156",13724.03842699993,-6.894076052007566,1.54738,7501.433105468750,41054,1.09805
"r20051219.157",13724.03909800015,-5.055097725993072,1.44086,7499.526855468750,41808,1.10105
"r20051219.158",13724.03973500011,-9.859883299417934,1.41819,7497.721191406250,38991,1.09779
"r20051219.159",13724.04040599987,-3.431007234064214,1.50113,7495.819824218750,38559,1.09698
"r20051219.160",13724.04103100020,-2.865958427676098,1.34414,7494.051757812500,38301,1.10601
"r20060210.141",13776.79289600020,-0.3937853743279902,1.17424,-18541.55468750000,100710,1.24267
"r20060210.142",13776.79374099988,-2.275292143435621,1.18493,-18543.93164062500,96464,1.20830
"r20060210.143",13776.79459699988,-1.116360746674218,1.21964,-18546.34375000000,100250,1.24631
"r20061216.219",14086.09639200009,-4.375828481044223,1.30096,9018.661132812500,67288,1.12244
"r20061216.220",14086.09746900015,-1.619575895325532,1.32926,9016.022460937500,68771,1.11942
"r20061216.221",14086.09856799990,-3.046815328822703,1.37599,9013.337890625000,69191,1.11078
"r20070207.219",14138.96433100011,3.174576988268541,1.17530,-17619.19140625000,73650,1.25026
"r20070207.220",14138.96517599979,1.544865023737088,1.29400,-17621.08203125000,70952,1.23652
"r20070207.221",14138.96592900017,1.058552294507706,1.22278,-17622.76171875000,70168,1.21242
"r20071025.191",14399.10693300003,0.9083621037478677,1.04727,28150.05859375000,69928,1.08634
"r20080319.138",14544.84328499995,1.137268924371881,1.39613,-29185.70507812500,70874,1.22545
"r20080320.135",14545.85278199986,-1.626649880048433,1.35267,-29323.60351562500,72848,1.19219
"r20080321.112",14546.76875799987,-5.926291736280177,1.44259,-29248.96093750000,68049,1.14830
"r20080514.117",14600.79453299986,-3.527510269661889,1.43182,-22745.44921875000,71486,1.17398
"r20080515.135",14601.78837099997,-1.208145019111754,1.55459,-22411.69726562500,70683,1.21345
