HIRESName,FILENAME,SNR
HD117762,r20080516.130,144.8008270263672
HD126583,r20040823.136,232.080322265625
HD72673,r20051122.367,221.68824768066406
HD149026,r20050626.152,274.1248779296875
HD116442,r20060210.267,219.4249725341797
HD117497,r20050225.195,205.88230895996094
HD115617,r20070727.110,334.5109558105469
HD111031,r20060210.258,214.21888732910156
