,Unnamed: 0,SIMNAME,TEFF,LOGG,VSINI,CH,NH,OH,NaH,MgH,AlH,SiH,CaH,TiH,VH,CrH,MnH,FeH,NiH,YH,DIR,,,,,,,,,,,,,,,,,,
907,907,HD 17620,5158.8677,3.4621456,2.948254585,-0.26900476,-0.13299358,-0.10404305,-0.25722066,-0.17443986,-0.2280715,-0.2626923,-0.07647735,-0.120015055,-0.1716699,-0.1182456,-0.22424272,-0.08592103,-0.17302388,0.12509272,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/17620_rj62.190.ech,,,,,,,,,,,,,,,,,,
455,455,HD 97334,5905.582,4.4662666,5.886542643,0.081634,0.043512397,0.11211951,0.04918485,0.048916876,0.04186264,0.078790136,0.19339685,0.12955342,0.13668719,0.17024887,0.105935216,0.15623844,0.072343335,0.20911156,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/97334_rj185.865.ech,,,,,,,,,,,,,,,,,,
705,705,HD 120528,5736.1396,4.1525006,2.764150858,0.10499804,0.09789573,0.13538949,0.089473695,0.11103513,0.119396985,0.11655342,0.1475749,0.12969296,0.066108085,0.15099287,0.15493819,0.1604681,0.14538416,0.053845435,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/120528_rj32.1334.ech,,,,,,,,,,,,,,,,,,
426,426,HD 20367,6093.9365,4.4556093,0.099999999,0.10163885,0.06451358,0.12853183,0.08071362,0.10421592,0.08475758,0.11370017,0.17808309,0.14312698,0.14115089,0.18154544,0.097049326,0.15900311,0.09254947,0.23904702,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/20367_rj185.1097.ech,,,,,,,,,,,,,,,,,,
348,348,HD 204277,6240.091,4.422928,2.647509575,0.010579958,0.068802,0.1197198,-0.06493854,0.016110487,-0.046495512,0.042545676,0.08174659,0.08755748,0.06750452,0.08108227,-0.05775162,0.07475541,-0.007515579,0.15037736,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/204277_rj153.118.ech,,,,,,,,,,,,,,,,,,
904,904,HD 18645,5458.495,3.5301178,10.192873,-0.020446768,0.027402446,0.25786838,-0.041168533,-0.07489151,-0.102710545,-0.08847062,0.19829737,0.12030251,-0.023354355,0.1025124,0.021879932,0.13424796,0.016649006,0.39230353,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/18645_rj62.187.ech,,,,,,,,,,,,,,,,,,
837,837,HD 178251,4734.4854,2.8095064,0.19044997,-0.4181825,-0.47842962,-0.036925446,-0.59604657,-0.39811143,-0.33863878,-0.5273157,-0.33970398,-0.26347506,-0.46183264,-0.56480527,-0.7577951,-0.49156952,-0.4525655,-0.13034111,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/178251_rj62.74.ech,,,,,,,,,,,,,,,,,,
536,536,HD 101501,5502.9136,4.5220284,2.170684099,-0.07324685,-0.1835763,-0.000233723,-0.14852434,-0.08943507,-0.13221858,-0.060683817,-0.023117783,-0.06851883,-0.0846364,-0.028216168,-0.12660863,-0.043730322,-0.10985266,0.059907876,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/101501_rj189.1669.ech,,,,,,,,,,,,,,,,,,
852,852,HTR176-001,6411.827,3.9828386,12.7256495,-0.2218106,0.21509786,0.35619736,-0.09511394,-0.010353684,-0.19508657,0.067238286,0.15687396,0.12736928,-0.057433754,0.0540757,-0.25590542,0.07083227,-0.105165415,0.18794502,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/HTR176-001_rj81.1172.ech,,,,,,,,,,,,,,,,,,
1004,1004,KOI-6,6276.8525,4.1664,11.30535126,-0.01793252,0.624964,0.29886797,0.085509926,0.004929278,-0.15057425,0.07142675,0.14281619,0.08102767,0.1533472,0.09124195,0.01129891,0.10739851,0.021486208,0.027379915,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/K00006_rj70.1247.ech,,,,,,,,,,,,,,,,,,
586,586,TYC 2340-1714-1,4926.4404,4.483971,0.899354458,0.22708939,0.25691193,0.18857667,0.39097995,0.18119925,0.23767188,0.23438597,0.23046368,0.19392484,0.19940165,0.20709355,0.2739134,0.22564037,0.245399,0.058157295,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/WASP11_rj194.327.ech,,,,,,,,,,,,,,,,,,
581,581,HTR093-012,6308.0493,4.1000304,4.392683029,-0.1102501,0.01328028,0.1340537,-0.0968826,-0.1076581,-0.26896396,-0.046468303,-0.009597465,0.010614486,-0.13261531,-0.050995454,-0.30041227,-0.05673287,-0.17084503,0.000633135,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/HTR093-012_rj194.1116.ech,,,,,,,,,,,,,,,,,,
384,384,HD 199580,4896.475,3.2408686,1.081763506,-0.20180845,0.10821056,-0.111883104,-0.06501493,-0.03194475,0.001507863,-0.14746436,-0.00829234,0.017965011,-0.055725567,-0.010589868,0.07684073,0.03327167,0.02542232,0.08173627,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/199580_rj159.707.ech,,,,,,,,,,,,,,,,,,
125,125,KIC-3852594,6464.228,4.046256,0.100000001,-0.41619158,-0.24387132,-0.024643905,-0.29255795,-0.20155156,-0.28475296,-0.14245276,-0.13167542,-0.01237944,-0.16217907,-0.19761321,-0.47483462,-0.19888437,-0.32054466,-0.2183854,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/KIC3852594_rj128.106.ech,,,,,,,,,,,,,,,,,,
850,850,HD 180512,6560.0464,3.9417393,0.100000001,-0.03398832,0.25628802,0.4910096,0.18692215,0.13878906,-0.04099086,0.120421365,0.22518162,0.2020598,-0.009192541,0.19951186,0.012060925,0.22918901,0.100077696,1.3497807,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/0737-0797111_rj60.767.ech,,,,,,,,,,,,,,,,,,
646,646,HD 222038,5628.581,4.2509837,2.05275321,0.21518524,0.2781587,0.2667181,0.29314825,0.20996399,0.2791952,0.21630457,0.19602191,0.19752756,0.19109698,0.21330447,0.27247688,0.22204934,0.24607413,0.15963134,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/222038_rj21.1562.ech,,,,,,,,,,,,,,,,,,
401,401,HD 180684,6052.0454,4.0260034,5.655317352,0.05203532,0.233524,0.22004743,0.08693917,0.020052847,-0.009644099,0.05990645,0.11191254,0.1303314,-0.010318633,0.08521384,0.018317208,0.09787258,0.07413851,0.1157999,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/180684_rj174.503.ech,,,,,,,,,,,,,,,,,,
534,534,HD 187013,6262.567,4.0611677,8.843244835,-0.11672865,0.19794658,0.17206742,-0.11778109,-0.03037963,-0.12275483,0.00699985,0.11731699,0.1467034,0.012716476,0.010246536,-0.36513025,0.03177459,-0.07310732,0.07867453,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/187013_rj188.559.ech,,,,,,,,,,,,,,,,,,
1165,1165,HD 75407,4913.548,3.1003554,0.594203889,-0.2609423,0.05743748,-0.06730448,-0.14114022,-0.1218101,-0.11595008,-0.24563932,-0.06747315,-0.08348701,-0.15814748,-0.10460712,-0.060005963,-0.05178526,-0.055641577,0.11823961,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/75407_rj90.987.ech,,,,,,,,,,,,,,,,,,
256,256,WASP-31,6217.5435,4.2020264,6.90494585,-0.083275184,0.001211315,0.0639841,-0.17011505,-0.08969784,-0.22553582,-0.07701559,-0.003121624,0.009856388,-0.042336427,-0.07756893,-0.31288445,-0.0748583,-0.1954429,-0.092979446,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/WASP31_rj148.380.ech,,,,,,,,,,,,,,,,,,
274,274,HD 18916,5663.4556,4.525912,0.92517817,-0.2045222,-0.25861442,-0.13847764,-0.29092753,-0.19373119,-0.22007775,-0.20537518,-0.18846735,-0.19138813,-0.20832853,-0.23454453,-0.30850375,-0.23224087,-0.25785127,-0.18099038,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/18916_rj15.1752.ech,,,,,,,,,,,,,,,,,,
293,293,HD 8553,5053.6206,4.476394,2.066377878,-0.014465767,-0.1508196,0.014382053,-0.10955821,0.000474878,0.010456677,-0.041067537,0.003841929,-0.003089681,-0.010509767,-0.02686283,-0.06486575,-0.015851662,-0.05233521,-0.18981478,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/8553_rj15.941.ech,,,,,,,,,,,,,,,,,,
412,412,HD 144287,5352.8657,4.4512897,1.171275973,-0.07235433,-0.19679151,0.058974784,-0.18164936,-0.043850485,0.007355683,-0.050426386,-0.054962754,-0.027218305,-0.041622072,-0.11290861,-0.1991449,-0.10856987,-0.12404941,-0.17179815,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/144287_rj18.687.ech,,,,,,,,,,,,,,,,,,
242,242,HD 199381,4843.893,3.187844,1.219633341,-0.07205267,0.30874377,-0.011557899,0.121295586,0.059664607,0.14718804,-0.06400743,0.11492872,0.092020966,0.025645882,0.121380016,0.2842391,0.15968108,0.17021516,0.16329387,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/199381_rj138.779.ech,,,,,,,,,,,,,,,,,,
182,182,HD 24505,5688.6577,4.095225,2.006496906,0.11824076,0.20804168,0.19905464,0.101579204,0.1133958,0.14796454,0.075512566,0.08382423,0.12704937,0.087434,0.051974367,-0.017543782,0.06716313,0.07119157,0.5056589,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/24505_rj130.1122.ech,,,,,,,,,,,,,,,,,,
509,509,HD 165341A,5307.216,4.515594,2.55667978,0.008787787,0.012234584,0.042113677,0.023071434,0.01690916,0.04087128,0.058290906,0.08774899,0.06487131,0.058289506,0.07250331,0.04478863,0.071345955,0.03764911,0.06573756,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/165341A_rj189.480.ech,,,,,,,,,,,,,,,,,,
140,140,KIC-7976303,6095.2573,3.9089997,0.139829844,-0.3537144,-0.0564395,-0.074365005,-0.4636308,-0.37189406,-0.49861065,-0.3564231,-0.27907643,-0.20713137,-0.36850125,-0.38882428,-0.70421827,-0.3793532,-0.4866179,-0.48594192,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/KIC7976303_rj128.132.ech,,,,,,,,,,,,,,,,,,
461,461,HD 34745,6070.696,4.278319,2.886559725,-0.026401054,-0.17649952,0.07997279,-0.107833326,-0.03535167,-0.08940668,-0.050509416,0.019106606,0.002315467,-0.030839654,-0.0257991,-0.19096777,-0.025489487,-0.089356415,0.026843324,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/34745_rj187.110.ech,,,,,,,,,,,,,,,,,,
414,414,HD 13579,5134.643,4.451322,1.841747522,0.23594704,0.37377518,0.21272117,0.48198205,0.24318933,0.31113517,0.2780295,0.32583332,0.28770104,0.30233222,0.3151933,0.39408827,0.3199122,0.33541608,0.15801266,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/13579_rj180.739.ech,,,,,,,,,,,,,,,,,,
1058,1058,HD 108863,4878.4814,3.0745757,1.939877629,-0.14342466,0.27995202,-0.053446062,0.10146569,0.05240169,0.07427853,-0.05702027,0.13945715,0.11025548,0.035161093,0.14268194,0.26625538,0.19441941,0.17477207,0.40063068,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/108863_rj72.738.ech,,,,,,,,,,,,,,,,,,
881,881,HD 3458,5100.7227,2.9531364,3.514009714,-0.2110563,0.23096868,-0.053934187,0.042464525,-0.107057944,-0.1281875,-0.18463033,0.09131426,-0.003723837,-0.1549018,0.051639363,0.020960584,0.11516419,0.03297977,0.5578377,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/3458_rj62.152.ech,,,,,,,,,,,,,,,,,,
197,197,HD 249,4775.1924,2.946439,0.100000001,-0.24371749,0.014223188,-0.071427405,-0.16988012,-0.09893297,-0.028379524,-0.24546565,-0.06474249,-0.012196816,-0.12463724,-0.115688205,-0.030307129,-0.042182937,-0.050806344,0.001118511,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/249_rj130.2532.ech,,,,,,,,,,,,,,,,,,
95,95,HTR433-003,6292.2744,4.285714,8.048287356,-0.014927254,0.15331721,0.15205358,-0.09696707,-0.010525491,-0.15177566,0.04033418,0.06437968,0.0936819,-0.18883783,0.034695596,-0.09941688,0.04299443,-0.019156937,0.06979484,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/HTR433-003_rj117.413.ech,,,,,,,,,,,,,,,,,,
616,616,HD 136274,5400.462,4.4685035,0.942470908,-0.06868943,-0.1067636,0.16377611,-0.12333484,-0.056361914,0.007840958,-0.079371214,-0.13883525,-0.039876454,-0.11577259,-0.23895288,-0.3555688,-0.23646896,-0.18046895,-0.23028165,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/136274_rj21.1240.ech,,,,,,,,,,,,,,,,,,
1076,1076,HD 128720,5001.4634,3.3899143,1.454696774,0.014811911,0.22730556,0.08510854,0.118983746,0.08836296,0.13655329,0.003029816,0.14795408,0.11514689,0.049636595,0.15183903,0.25658923,0.17809263,0.18043971,0.27260143,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/128720_rj74.678.ech,,,,,,,,,,,,,,,,,,
770,770,HD 90711,5409.583,4.376595,1.59596169,0.20243707,0.34978575,0.20168997,0.40464208,0.22243278,0.27545142,0.24949431,0.2177048,0.2305302,0.24006039,0.24074939,0.33337542,0.24786347,0.29109567,0.14531124,/Users/malenarice/Desktop/Research/Stellar_Spectroscopy/ML/ech_files/90711_rj50.333.ech,,,,,,,,,,,,,,,,,,
